=== CoVLA Balanced Downloader (direct MP4 download by video_id) ===
Node: dagobert
Start: Sun Jan 11 04:53:24 PM CET 2026
Using Python: /work/dlclarge2/alidemaa-text-control-orbis/miniconda3/envs/orbis_env/bin/python
Conda env: orbis_env
MKL_INTERFACE_LAYER=LP64,GNU
[INFO] Python version: 3.10.14 | packaged by conda-forge | (main, Mar 20 2024, 12:45:18) [GCC 12.3.0]
[INFO] CAPTIONS_DIR: /work/dlclarge2/alidemaa-text-control-orbis/orbis/data/covla_captions_balanced
[INFO] OUT_DIR: /work/dlclarge2/alidemaa-text-control-orbis/orbis/data/covla_videos_balanced
[INFO] REVISION: 0a6d39e41659903a26dde957744e70dbc360bb6d
[INFO] CACHE_DIR: /work/dlclarge2/alidemaa-text-control-orbis/orbis/data/covla_videos_balanced/_hf_download_cache
[INFO] Caption files (requested): 4120
[INFO] Remaining to download: 4120
[PROGRESS] 1/4120 | saved=0 | elapsed=0.0m | eta=0.0m
[PROGRESS] 2525/4120 | saved=2524 | elapsed=139.2m | eta=87.9m
[PROGRESS] 2550/4120 | saved=2549 | elapsed=140.4m | eta=86.5m
[PROGRESS] 2575/4120 | saved=2574 | elapsed=141.8m | eta=85.1m
[PROGRESS] 2600/4120 | saved=2599 | elapsed=143.1m | eta=83.7m
[PROGRESS] 2625/4120 | saved=2624 | elapsed=144.5m | eta=82.3m
[PROGRESS] 2650/4120 | saved=2649 | elapsed=145.8m | eta=80.9m
[PROGRESS] 2675/4120 | saved=2674 | elapsed=147.1m | eta=79.5m
[PROGRESS] 2700/4120 | saved=2699 | elapsed=148.4m | eta=78.1m
[PROGRESS] 2725/4120 | saved=2724 | elapsed=149.7m | eta=76.7m
[PROGRESS] 2750/4120 | saved=2749 | elapsed=151.1m | eta=75.3m
[PROGRESS] 2775/4120 | saved=2774 | elapsed=152.3m | eta=73.8m
[PROGRESS] 2800/4120 | saved=2799 | elapsed=153.7m | eta=72.5m
[PROGRESS] 2825/4120 | saved=2824 | elapsed=155.0m | eta=71.1m
[PROGRESS] 2850/4120 | saved=2849 | elapsed=156.3m | eta=69.7m
[PROGRESS] 2875/4120 | saved=2874 | elapsed=157.6m | eta=68.3m
[PROGRESS] 2900/4120 | saved=2899 | elapsed=158.9m | eta=66.9m
[PROGRESS] 2925/4120 | saved=2924 | elapsed=160.2m | eta=65.5m
[PROGRESS] 2950/4120 | saved=2949 | elapsed=161.5m | eta=64.1m
[PROGRESS] 2975/4120 | saved=2974 | elapsed=162.8m | eta=62.7m
[PROGRESS] 3000/4120 | saved=2999 | elapsed=164.1m | eta=61.3m
[PROGRESS] 3025/4120 | saved=3024 | elapsed=165.4m | eta=59.9m
[PROGRESS] 3050/4120 | saved=3049 | elapsed=166.7m | eta=58.5m
[PROGRESS] 3075/4120 | saved=3074 | elapsed=168.0m | eta=57.1m
[PROGRESS] 3100/4120 | saved=3099 | elapsed=169.4m | eta=55.7m
[PROGRESS] 3125/4120 | saved=3124 | elapsed=170.7m | eta=54.3m
[PROGRESS] 3150/4120 | saved=3149 | elapsed=171.9m | eta=52.9m
[PROGRESS] 3175/4120 | saved=3174 | elapsed=173.2m | eta=51.6m
[PROGRESS] 3200/4120 | saved=3199 | elapsed=174.5m | eta=50.2m
[PROGRESS] 3225/4120 | saved=3224 | elapsed=176.0m | eta=48.8m
[PROGRESS] 3250/4120 | saved=3249 | elapsed=177.5m | eta=47.5m
[PROGRESS] 3275/4120 | saved=3274 | elapsed=178.8m | eta=46.1m
[PROGRESS] 3300/4120 | saved=3299 | elapsed=180.0m | eta=44.7m
[PROGRESS] 3325/4120 | saved=3324 | elapsed=181.3m | eta=43.3m
[PROGRESS] 3350/4120 | saved=3349 | elapsed=182.6m | eta=42.0m
[PROGRESS] 3375/4120 | saved=3374 | elapsed=183.9m | eta=40.6m
[PROGRESS] 3400/4120 | saved=3399 | elapsed=185.3m | eta=39.2m
[PROGRESS] 3425/4120 | saved=3424 | elapsed=186.7m | eta=37.9m
[PROGRESS] 3450/4120 | saved=3449 | elapsed=188.2m | eta=36.6m
[PROGRESS] 3475/4120 | saved=3474 | elapsed=189.5m | eta=35.2m
[PROGRESS] 3500/4120 | saved=3499 | elapsed=190.8m | eta=33.8m
[PROGRESS] 3525/4120 | saved=3524 | elapsed=192.2m | eta=32.4m
[PROGRESS] 3550/4120 | saved=3549 | elapsed=193.5m | eta=31.1m
[PROGRESS] 3575/4120 | saved=3574 | elapsed=194.8m | eta=29.7m
[PROGRESS] 3600/4120 | saved=3599 | elapsed=196.3m | eta=28.4m
[PROGRESS] 3625/4120 | saved=3624 | elapsed=197.6m | eta=27.0m
[PROGRESS] 3650/4120 | saved=3649 | elapsed=198.9m | eta=25.6m
[PROGRESS] 3675/4120 | saved=3674 | elapsed=200.3m | eta=24.3m
[PROGRESS] 3700/4120 | saved=3699 | elapsed=201.6m | eta=22.9m
[PROGRESS] 3725/4120 | saved=3724 | elapsed=202.9m | eta=21.5m
[PROGRESS] 3750/4120 | saved=3749 | elapsed=204.2m | eta=20.1m
[PROGRESS] 3775/4120 | saved=3774 | elapsed=205.5m | eta=18.8m
[PROGRESS] 3800/4120 | saved=3799 | elapsed=206.9m | eta=17.4m
[PROGRESS] 3825/4120 | saved=3824 | elapsed=208.2m | eta=16.1m
[PROGRESS] 3850/4120 | saved=3849 | elapsed=209.6m | eta=14.7m
[PROGRESS] 3875/4120 | saved=3874 | elapsed=210.9m | eta=13.3m
[PROGRESS] 3900/4120 | saved=3899 | elapsed=212.4m | eta=12.0m
[PROGRESS] 3925/4120 | saved=3924 | elapsed=213.8m | eta=10.6m
[PROGRESS] 3950/4120 | saved=3949 | elapsed=215.1m | eta=9.3m
[PROGRESS] 3975/4120 | saved=3974 | elapsed=216.4m | eta=7.9m
[PROGRESS] 4000/4120 | saved=3999 | elapsed=217.8m | eta=6.5m
[PROGRESS] 4025/4120 | saved=4024 | elapsed=219.0m | eta=5.2m
[PROGRESS] 4050/4120 | saved=4049 | elapsed=220.4m | eta=3.8m
[PROGRESS] 4075/4120 | saved=4074 | elapsed=221.6m | eta=2.4m
[PROGRESS] 4100/4120 | saved=4099 | elapsed=223.0m | eta=1.1m

[DONE]
  Requested: 4120
  Newly saved: 4120
  Missing (not found): 0
  Failed (other errors): 0
Finished: Sun Jan 11 08:37:34 PM CET 2026
